Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2021-11-23,144.5869903564453,145.45779912839131,142.93366287312807,144.95495136652673,27218000
2021-11-24,144.92221069335938,145.0506504792178,143.18953724894834,144.2810105888424,18040000
2021-11-26,141.01748657226562,143.3725186493825,140.67977786294543,143.16523224151518,30470000
2021-11-29,144.33755493164062,145.0982659592094,142.7139652055701,142.81959849591408,32596000
2021-11-30,140.73435974121094,144.80322451084183,140.4407808745621,143.81985108046018,42068000
2021-12-01,139.89527893066406,144.75412317905503,139.7569265486594,142.81961122468087,34020000
2021-12-02,141.79405212402344,142.68518529611637,139.06509677127372,140.0921154938086,29194000
2021-12-03,140.83750915527344,143.21634719880555,139.15094766887884,142.5032466528909,41230000
2021-12-06,141.9815216064453,142.67329857712156,139.00114949695094,141.86795825434288,30618000
2021-12-07,146.06228637695312,146.32164786424076,144.03701790710437,144.40299636708085,32240000
2021-12-08,146.97177124023438,147.17659085728474,145.20587927665102,146.38661124962783,24270000
2021-12-09,146.4282684326172,147.87779015183264,145.90906116663706,146.38115719853195,23270000
2021-12-10,146.78829956054688,147.75629704872722,145.5014348041652,147.4810753999608,24458000
2021-12-13,144.63113403320312,146.75705697342113,144.32466128723686,146.5700951293805,27070000
2021-12-14,142.7273712158203,143.29567231486587,140.05743659724035,142.78787579064948,38446000
2021-12-15,145.24058532714844,145.51828889506476,140.51662819810505,142.2334415962049,36370000
2021-12-16,143.26095581054688,146.46645697869997,142.42981251292935,145.96410864255435,33650000
2021-12-17,140.56324768066406,142.65545262972856,140.1417284945182,141.33188874138816,50416000
2021-12-20,140.4462127685547,140.61235063263806,138.17895606354023,138.85239100741393,27192000
2021-12-21,142.29641723632812,142.68966664568237,139.35076199155114,140.88904290220043,28756000
2021-12-22,145.21478271484375,145.29909260146448,141.89473474558528,141.89473474558528,26322000
2021-12-23,145.71218872070312,147.028306818594,145.25148836497797,145.29909901208103,26384000
2021-12-27,146.69407653808594,147.1279902675561,145.96311835123439,146.04891135250273,15976000
2021-12-28,145.4845733642578,147.08335898865232,144.85726596471994,147.02087190142421,18200000
2021-12-29,145.4528350830078,146.208597395199,144.45360165448406,145.44242309096177,17788000
2021-12-30,145.0020751953125,146.09256498744182,144.7977701008214,145.49152966687038,15688000
2021-12-31,143.6646270751953,145.4959875927401,143.6646270751953,144.85280491667777,18136000
2022-01-03,143.80294799804688,144.6553994298771,142.5349249798288,143.8659193516871,28646000
2022-01-04,143.2158203125,145.28421989053714,142.5384203965496,144.20414226489285,28400000
2022-01-05,136.6456298828125,143.3150106060316,136.55935260045507,143.23616397542605,54618000
2022-01-06,136.61834716796875,138.7928795446468,135.43909829641714,135.8754939287169,37348000
2022-01-07,135.89382934570312,137.31359818480337,134.65357655381717,137.01307300645394,29760000
2022-01-10,137.53280639648438,137.68158591115076,132.0729417434719,133.9707545272893,44408000
2022-01-11,138.59056091308594,139.06663719581033,135.5720211712193,136.87574497844983,28730000
2022-01-12,140.27114868164062,141.4390018146242,139.54118939726052,139.9929457226333,26108000
2022-01-13,137.4509735107422,141.67902912526233,137.27442366179454,140.37975480829834,31436000
2022-01-14,138.337158203125,139.5883225969847,135.8755088296192,135.95533915327124,29662000
2022-01-18,134.88319396972656,136.00740156008052,134.32828625328975,135.05874499682633,34872000
2022-01-19,134.0089569091797,136.82865526500728,133.9087868598706,135.4044214924616,28648000
2022-01-20,132.2147216796875,136.49783311871093,131.87453108390275,135.133105704383,29908000
2022-01-21,129.28298950195312,133.7599798995472,129.02016235439484,131.5066158303364,55652000
2022-01-24,129.7317657470703,130.12749709636913,123.47944046052136,124.94532175448224,76622000
2022-01-25,125.89448547363281,128.33829204225916,125.46355309123715,127.68469738972522,46960000
2022-01-26,128.17364501953125,131.9097642410679,126.09978210305361,130.04418655853962,49130000
